id,name,all_raw_mediums
0,Isamu Noguchi,"Laminated and carved avodire | Design | Architecture & Design, Chromed steel and walnut | Design | Architecture & Design, Paper shade and metal frame | Design | Architecture & Design, Paper shade and metal stand | Design | Architecture & Design, Paper and metal | Design | Architecture & Design, Silk shade and bamboo stand | Design | Architecture & Design, Plastic and maple | Design | Architecture & Design, Bakelite resin | Design | Architecture & Design, Lithograph | Design | Architecture & Design, Pencil on cut-out-and-pasted graph paper on black construction paper | Drawing | Drawings & Prints, Unglazed Kasama red stoneware, wood pole, and hemp cord | Sculpture | Painting & Sculpture, Unglazed Karatsu red stoneware and wood | Sculpture | Painting & Sculpture, Terra cotta | Sculpture | Painting & Sculpture, Greek marble on wood and painted steel base | Sculpture | Painting & Sculpture, Iron with wood and painted steel base | Sculpture | Painting & Sculpture, Marble | Sculpture | Painting & Sculpture, Bronze, wood, and steel | Sculpture | Painting & Sculpture, Aluminum | Sculpture | Painting & Sculpture, Unglazed Seto red stoneware | Sculpture | Painting & Sculpture, Iron | Sculpture | Painting & Sculpture, Iron on painted wood base | Sculpture | Painting & Sculpture, Driftwood | Sculpture | Painting & Sculpture, Bronze | Sculpture | Painting & Sculpture, Birch, glass, aluminum dowel | Design | Architecture & Design, Granite and wood | Sculpture | collection, Bronze | Sculpture | collection, Marble on wood and steel base | Sculpture | collection, Marble | Sculpture | collection, Cast Iron | Sculpture | collection, Cast iron | Sculpture | collection, Fiberglass | Sculpture | collection, Granite | Sculpture | collection, Ribbon slate | Sculpture | collection, Graphite pencil on cut graph paper mounted on paper | Drawings | collection, Earthenware | Sculpture | collection, Opaque watercolor and graphite pencil on paper | Drawings | collection, Opaque watercolor, pen and ink, and graphite pencil on paper | Drawings | collection, Arni Marble | Sculpture, White Marble | Sculpture, Sculpture | steel pipe, Sculpture | basalt with mineral accretions, Aluminum | Sculpture, Ebonized plywood, aluminum, and Lucite | Furniture, Charcoal on ivory wove paper (discolored to cream), laid down on off-white Japanese paper | Drawing and Watercolor, Georgia marble | Sculpture, Slate | Sculpture, Birch and glass | Furniture, Brush and black wash on off-white Japanese paper | Drawing and Watercolor, Teak and steel | Furniture, Stencil print with opaque and translucent watercolor over traces of graphite on brown wove paper | Drawing and Watercolor, Brush and black ink on cream laid Japanese paper, mounted as a scroll | Painting, Bronze | Sculpture, Black basalt | Sculpture, Marble | Sculpture, Basalt; on a foundation bed of naturally rounded granite stones | Sculpture, Unglazed Bizen stoneware | Ceramics, basalt | Sculpture, galvanized steel | Sculpture, collage with graphite on graph paper mounted on black construction paper | Drawing, wood | Sculpture"
1,Amanda Ross-Ho,Two chromogenic prints | Photograph
2,Laurel Nakadate,"Three-channel video (color, sound) | Installation | Media and Performance, Chromogenic print with ink fingerprints | Photograph, Video, color, sound, 14:50 min."
3,Mequitta Ahuja,Oil on canvas | Paintings
4,Kip Fulbeck,Performance readings | multiple image performance
5,Ruth Asawa,"Lithograph | Print | Drawings & Prints, One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints, Portfolio of 12 lithographs (including title page and colophon) | Portfolio | Drawings & Prints, Stamped ink on fabric sheeting | Drawing | Drawings & Prints, Patinated bronze wire | Sculpture | Painting & Sculpture, Brush and ink on paper | Drawings, Brass and steel wire | Sculpture, Relief Print | Drawings, Ink on paper | Sculpture, color lithograph | Print, lithograph (stone) in red-brown on German Etching paper | Portfolio, portfolio w/ 12 color lithographs (stone) including title page and colophon on German Etching paper | Portfolio, lithograph (stone) in black on German Etching paper | Portfolio, lithograph (stone) in red, green and violet on German Etching paper | Portfolio, lithograph (stone) in brown-red on German Etching paper | Portfolio, lithograph (stone) in brown-red, green and gray onGerman Etching paper | Portfolio, color lithograph on Rives Type IV paper | Print, lithograph in black and white on wove Rives BFK paper | Print, lithograph (stone) in black on German Etching paper | Print, lithograph (stone) in black on Rives BFK Type V paper | Print, lithograph (stone) in black on white Arches paper | Print, lithograph (stone) in black on Copperplate Deluxe paper | Print, lithograph (stone) in black on Rives BFK paper | Print, lithograph (stone) in blue-black on white Arches paper | Print, lithograph (stone) in two greens and green-brown on white Arches paper | Print, lithograph on wove Nacre paper | Print, lithograph on natural Nacre paper | Print, lithograph (stone) in dark brown on buff Arches paper | Print, lithograph (stone) in brown-red and red-black on white Arches paper | Print, lithograph (stone) in red-black on Fabriano paper | Print, lithograph (aluminum and stone) in yellow, red anddark green-blue on white Arches paper | Print, lithograph (stone) in black on Rives BFK Type IV paper | Print, lithograph (zinc and stone) in blue and dark blue-violet on Rives BFK Type III paper | Print, lithograph (stone) in pink on Copperplate Deluxe paper | Print, lithograph (zinc and stone) in brown and black on white Arches paper | Print, lithograph (stone) in red, green and violet on German Etching paper | Print, lithograph (stone and zinc) in brown, orange and yellow-green on white Arches paper | Print, lithograph | Print"
6,Do Ho Suh,"Inkjet print | Prints, Fiber-tipped pen, and brush and colored ink on plastic and paper | Drawings, Stainless steel, military dog tags, nickel-plated copper, steel, glass fiber-reinforced resin and rubber | Sculpture, Blown and molded glass | Glass | Modern and Contemporary Art, thread drawing embedded in handmade wove STPI paper | Drawing"
7,Oscar yi Hou,Oil on canvas | Paintings
8,Sarah Sze,"Lithograph | Print | Drawings & Prints, Lithograph and screenprint | Print | Drawings & Prints, Salt, water, stone, string, projector, video, pendulum, and other materials | Installation | Painting & Sculpture, Digital print, collage, and laser-engraving; and book | Illustrated Book | Drawings & Prints, Found objects | Sculpture | Painting & Sculpture, Lithograph, inkjet, screenprint, and watercolor with collage addition | Print | Drawings & Prints, Screenprint with embossing | Print | Drawings & Prints, Oil paint, acrylic paint, archival paper, acrylic polymers, ink, dibond, aluminum, and wood | Painting | Painting & Sculpture, Inkjet prints, oil, acrylic, adhesive, tape, ink, and wood | Installations, Silkscreen, tape, hand-cut paper, and pencil on paper | Prints, See individual records. Set of two lithographs. | Prints, Silkscreen, digital print, and laser-engraved paper | Prints, Laser-cut screenprint with painted pebbles, string and push pins | Prints, Offset lithograph on laser-cut paper and board | Prints, Chromogenic print mounted on aluminum | Photographs, Mixed media | Installations, Lithograph on multiple sheets of paper | Prints, Lithograph | Prints, Toilet paper and saliva | Sculpture, Lithograph in colors with screenprint | Prints | Drawings and Prints, Multimedia installation, including two-channel video, color, sound, 1 min., 30 sec.; video projectors; wood; stainless steel; acrylic; inkjet prints, ceramic, tape, and paper | Variable Media | Modern and Contemporary Art, Offset lithograph and screenprint | Prints | Drawings and Prints, Painting | oil paint, acrylic paint, inkjet prints, acrylic polymers, and ink on aluminum composite, aluminum, and wood, Installation Media | Acrylic paint, wood, archival prints, ladder, mirror, paper cups, stone, lamp, tools, pen, tape, paint brush, newspaper"
9,Wu Tsang,"High-definition video (color, sound) | Video | Media and Performance, Video (color, sound) | Video | Media and Performance, Two-channel video (color, sound) | Installation | Media and Performance, Video, color, sound, 5:15 min. | Installations | collection, Video installation, color, sound, 20 min. looped, with bar, twelve bar stools, gold lamé curtain, monitor, video player, and monitor mount | Installations | collection"
