id,name,birth_year,death_year
0,Isamu Noguchi,1904,1988.0
1,Amanda Ross-Ho,1975,
2,Laurel Nakadate,1975,
3,Mequitta Ahuja,1976,
4,Kip Fulbeck,1965,
5,Ruth Asawa,1926,2013.0
6,Do Ho Suh,1962,
7,Oscar yi Hou,1998,
8,Sarah Sze,1969,
9,Wu Tsang,1982,
10,Martin Wong,1946,1999.0
11,Josh Kline,1979,
12,Byron Kim,1961,
13,Paul Pfeiffer,1966,
14,Carlos Villa,1936,2013.0
15,Korakrit Arunanondchai,1986,
16,Shu Lea Cheang,1954,
17,Cristina Lei Rodriguez,1974,
18,Albert Chong,1958,
19,Michael Joo,1966,
20,Laura Kina,1973,
21,Alfonso Ossorio,1916,1990.0
22,Stephanie Syjuco,1974,
23,Saya Woolfalk,1979,
24,Shizu Saldamando,1978,
25,Roger Shimomura,1939,
26,Tiffany Chung,1969,
27,Tom Nakashima,1941,
28,Patty Chang,1972,
29,Hung Liu,1948,2021.0
